"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"ADAMTS12",TRUE
"ADAMTS13",TRUE
"ADAMTS14",TRUE
"ADAMTS15",TRUE
"ADAMTS16",TRUE
"ADAMTS17",TRUE
"ADAMTS18",TRUE
"ADAMTS19",TRUE
"ADAMTS2",TRUE
"ADAMTS20",TRUE
"ADAMTS3",TRUE
"ADAMTS4",TRUE
"ADAMTS5",TRUE
"ADAMTS6",TRUE
"ADAMTS7",TRUE
"ADAMTS8",TRUE
"ADAMTS9",TRUE
"ADAMTSL1",TRUE
"ADAMTSL2",TRUE
"ADAMTSL3",TRUE
"ADAMTSL4",TRUE
"ADAMTSL5",TRUE
"ADAP1",TRUE
"ADAP2",TRUE
"ADAR",TRUE
"ADARB1",TRUE
"ADARB2",TRUE
"ADAT1",TRUE
"ADAT2",TRUE
"ADAT3",TRUE
"ADC",TRUE
"ADCK1",TRUE
"ADCK2",TRUE
"ADCK4",TRUE
"ADCK5",TRUE
"ADCY1",TRUE
"ADCY10",TRUE
"ADCY2",TRUE
"ADCY3",TRUE
"ADCY4",TRUE
"ADCY5",TRUE
"ADCY6",TRUE
"ADCY7",TRUE
"ADCY8",TRUE
"ADCY9",TRUE
"ADCYAP1",TRUE
"ADCYAP1R1",TRUE
"ADD1",TRUE
"ADD2",TRUE
"ADD3",TRUE
"ADH1A",TRUE
"ADH1B",TRUE
"ADH1C",TRUE
"ADH4",TRUE
"ADH5",TRUE
"ADH6",TRUE
"ADH7",TRUE
"ADHFE1",TRUE
"ADI1",TRUE
"ADIG",TRUE
"ADIPOQ",TRUE
"ADIPOR1",TRUE
"ADIPOR2",TRUE
"ADK",TRUE
"ADM",TRUE
"ADM2",TRUE
"ADNP",TRUE
"ADNP2",TRUE
"ADO",TRUE
"ADORA1",TRUE
"ADORA2A",TRUE
"ADORA2B",TRUE
"ADORA3",TRUE
"ADPGK",TRUE
"ADPRH",TRUE
"ADPRHL1",TRUE
"ADPRHL2",TRUE
"ADRA1A",TRUE
"ADRA1B",TRUE
"ADRA1D",TRUE
"ADRA2A",TRUE
"ADRA2B",TRUE
"ADRA2C",TRUE
"ADRB1",TRUE
"ADRB2",TRUE
"ADRB3",TRUE
"ADRBK1",TRUE
"ADRBK2",TRUE
"ADRM1",TRUE
"ADSL",TRUE
"ADSS",TRUE
"ADSSL1",TRUE
"AEBP1",TRUE
"AEBP2",TRUE
"AEN",TRUE
"AES",TRUE
"AFAP1",TRUE
"AFAP1L1",TRUE
"AFAP1L2",TRUE
"AFAR3",TRUE
"AFARP1",TRUE
"AFF1",TRUE
"AFF2",TRUE
"AFF3",TRUE
"AFF4",TRUE
"AFG3L1",TRUE
"AFG3L2",TRUE
"AFM",TRUE
"AFMID",TRUE
"AFP",TRUE
"AFTPH",TRUE
"AGA",TRUE
"AGAP1",TRUE
"AGAP11",TRUE
"AGAP2",TRUE
"AGAP3",TRUE
"AGAP6",TRUE
"AGAP7",TRUE
"AGAP8",TRUE
"AGBL1",TRUE
"AGBL2",TRUE
"AGBL4",TRUE
"AGBL5",TRUE
"AGC1",TRUE
"AGER",TRUE
"AGFG1",TRUE
"AGFG2",TRUE
"AGGF1",TRUE
"AGK",TRUE
"AGL",TRUE
"AGMAT",TRUE
"AGPAT1",TRUE
"AGPAT2",TRUE
"AGPAT3",TRUE
"AGPAT4",TRUE
"AGPAT5",TRUE
"AGPAT6",TRUE
"AGPAT9",TRUE
"AGPS",TRUE
"AGR2",TRUE
"AGR3",TRUE
"AGRN",TRUE
"AGRP",TRUE
"AGT",TRUE
"AGTPBP1",TRUE
"AGTR1",TRUE
"AGTR2",TRUE
"AGTRAP",TRUE
"AGXT",TRUE
"AGXT2",TRUE
"AGXT2L1",TRUE
"AGXT2L2",TRUE
"AHCTF1",TRUE
"AHCY",TRUE
"AHCYL1",TRUE
"AHCYL2",TRUE
"AHDC1",TRUE
"AHI1",TRUE
"AHNAK",TRUE
"AHNAK2",TRUE
"AHR",TRUE
"AHRR",TRUE
"AHSA1",TRUE
"AHSA2",TRUE
"AHSG",TRUE
"AHSP",TRUE
"AICDA",TRUE
"AIDA",TRUE
"AIF1",TRUE
"AIF1L",TRUE
"AIFM1",TRUE
"AIFM2",TRUE
"AIFM3",TRUE
"AIG1",TRUE
"AIM1",TRUE
"AIM1L",TRUE
"AIM2",TRUE
"AIMP2",TRUE
"AIP",TRUE
"AIPL1",TRUE
"AIRE",TRUE
"AJAP1",TRUE
"AK1",TRUE
"AK2",TRUE
"AK3",TRUE
"AK3L1",TRUE
"AK5",TRUE
"AK7",TRUE
"AKAP1",TRUE
"AKAP10",TRUE
"AKAP11",TRUE
"AKAP12",TRUE
"AKAP13",TRUE
"AKAP14",TRUE
"AKAP2",TRUE
"AKAP3",TRUE
"AKAP4",TRUE
"AKAP5",TRUE
"AKAP6",TRUE
"AKAP7",TRUE
"AKAP8",TRUE
"AKAP8L",TRUE
"AKAP9",TRUE
"AKIRIN1",TRUE
"AKIRIN2",TRUE
"AKNA",TRUE
"AKNAD1",TRUE
"AKR1A1",TRUE
"AKR1B1",TRUE
"AKR1B10",TRUE
"AKR1B15",TRUE
"AKR1C1",TRUE
"AKR1C2",TRUE
"AKR1C3",TRUE
"AKR1C4",TRUE
"AKR1CL1",TRUE
"AKR1D1",TRUE
"AKR1E2",TRUE
